"KAZNIVO DEJANJE","Vložnik ovadbe - SKUPAJ 2013","Vložnik ovadbe - SKUPAJ 2014","Vložnik ovadbe - SKUPAJ 2015","Vložnik ovadbe - SKUPAJ 2016","Vložnik ovadbe - SKUPAJ 2017","Vložnik ovadbe - SKUPAJ 2018","Vložnik ovadbe - SKUPAJ 2019","Vložnik ovadbe - SKUPAJ 2020","Vložnik ovadbe - SKUPAJ 2021","Drugo 2013","Drugo 2014","Drugo 2015","Drugo 2016","Drugo 2017","Drugo 2018","Drugo 2019","Drugo 2020","Drugo 2021","Oškodovanec 2013","Oškodovanec 2014","Oškodovanec 2015","Oškodovanec 2016","Oškodovanec 2017","Oškodovanec 2018","Oškodovanec 2019","Oškodovanec 2020","Oškodovanec 2021","Policija 2013","Policija 2014","Policija 2015","Policija 2016","Policija 2017","Policija 2018","Policija 2019","Policija 2020","Policija 2021","Inšpekcija 2013","Inšpekcija 2014","Inšpekcija 2015","Inšpekcija 2016","Inšpekcija 2017","Inšpekcija 2018","Inšpekcija 2019","Inšpekcija 2020","Inšpekcija 2021","Agencija za plaèilni promet RS 2013","Agencija za plaèilni promet RS 2014","Agencija za plaèilni promet RS 2015","Agencija za plaèilni promet RS 2016","Agencija za plaèilni promet RS 2017","Agencija za plaèilni promet RS 2018","Agencija za plaèilni promet RS 2019","Agencija za plaèilni promet RS 2020","Agencija za plaèilni promet RS 2021","Sam storilec 2013","Sam storilec 2014","Sam storilec 2015","Sam storilec 2016","Sam storilec 2017","Sam storilec 2018","Sam storilec 2019","Sam storilec 2020","Sam storilec 2021","Neposredna ugotovitev državnega tožilstva 2013","Neposredna ugotovitev državnega tožilstva 2014","Neposredna ugotovitev državnega tožilstva 2015","Neposredna ugotovitev državnega tožilstva 2016","Neposredna ugotovitev državnega tožilstva 2017","Neposredna ugotovitev državnega tožilstva 2018","Neposredna ugotovitev državnega tožilstva 2019","Neposredna ugotovitev državnega tožilstva 2020","Neposredna ugotovitev državnega tožilstva 2021","Drug obèan 2013","Drug obèan 2014","Drug obèan 2015","Drug obèan 2016","Drug obèan 2017","Drug obèan 2018","Drug obèan 2019","Drug obèan 2020","Drug obèan 2021","Državni pravobranilec 2013","Državni pravobranilec 2014","Državni pravobranilec 2015","Državni pravobranilec 2016","Državni pravobranilec 2017","Državni pravobranilec 2018","Državni pravobranilec 2019","Državni pravobranilec 2020","Državni pravobranilec 2021","Sodišèe 2013","Sodišèe 2014","Sodišèe 2015","Sodišèe 2016","Sodišèe 2017","Sodišèe 2018","Sodišèe 2019","Sodišèe 2020","Sodišèe 2021"
"4.XXVI.257a oškodovanje javnih sredstev",-,-,-,-,11,9,24,29,-,-,-,-,-,8,2,2,9,-,-,-,-,-,1,6,12,17,-,-,-,-,-,1,1,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4.XXVI.257110 oškodovanje javnih sredstev - od. 1",-,-,-,-,4,5,9,22,30,-,-,-,-,3,2,2,9,19,-,-,-,-,-,3,7,10,8,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4.XXVI.257121 oškodovanje javnih sredstev - od. 2 v zvezi z od. 1",-,-,-,-,7,4,15,7,3,-,-,-,-,5,-,-,-,2,-,-,-,-,1,3,5,7,1,-,-,-,-,-,1,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4.XXVI.258 nevestno delo v službi",138,104,124,180,210,142,133,160,-,17,4,8,11,17,16,12,30,-,97,85,86,123,143,111,103,112,-,16,7,27,37,41,3,7,3,-,0,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,2,1,1,-,6,5,7,8,-,5,7,1,5,2,7,3,6,-,-,-,-,-,-,-,-,-,-,1,-,1,4,-,-,1,1,-
"4.XXVI.258000 nevestno delo v službi",138,104,124,180,210,142,133,160,146,17,4,8,11,17,16,12,30,34,97,85,86,123,143,111,103,112,99,16,7,27,37,41,3,7,3,2,0,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,2,1,1,-,6,5,7,8,7,5,7,1,5,2,7,3,6,4,-,-,-,-,-,-,-,-,-,1,-,1,4,-,-,1,1,-
"4.XXVI.259 ponareditev ali unièenje uradne listine, knjige, spisa ali arhivskega gradiva",25,37,54,82,58,50,45,45,-,3,3,3,2,5,11,12,7,-,9,21,30,71,40,31,30,31,-,11,11,20,8,11,8,2,6,-,0,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,2,-,-,-,1,-,1,-,-,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,1,1,-,-,-,1,-
"4.XXVI.259010 ponareditev ali unièenje uradne listine, knjige, spisa ali arhivskega gradiva - od. 1",14,29,46,72,47,48,41,42,31,2,3,3,2,4,11,12,5,10,4,16,25,62,32,29,26,30,17,6,8,18,7,10,8,2,6,-,0,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,2,-,-,-,-,-,1,-,3,0,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,1,-,-,-,1,-
"4.XXVI.259020 ponareditev ali unièenje uradne listine, knjige, spisa ali arhivskega gradiva - od. 2",11,6,4,9,9,2,3,3,7,1,-,-,-,1,-,-,2,-,5,3,2,8,7,2,3,1,3,5,3,1,1,1,-,-,-,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,0,-,1,-,-,-,-,-,-
"4.XXVI.259030 ponareditev ali unièenje uradne listine, knjige, spisa ali arhivskega gradiva - od. 3",-,2,4,1,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,3,1,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4.XXVI.260 izdaja tajnih podatkov",5,3,7,21,7,5,2,3,-,4,-,1,1,2,2,1,2,-,0,3,5,10,2,2,1,-,-,1,-,1,7,2,1,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,1,-,-,1,-,0,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
