"KAZNIVO DEJANJE","Razlog zavrženja - SKUPAJ 2013","Razlog zavrženja - SKUPAJ 2014","Razlog zavrženja - SKUPAJ 2015","Razlog zavrženja - SKUPAJ 2016","Razlog zavrženja - SKUPAJ 2017","Razlog zavrženja - SKUPAJ 2018","Razlog zavrženja - SKUPAJ 2019","Razlog zavrženja - SKUPAJ 2020","Razlog zavrženja - SKUPAJ 2021","Ni utemeljenega suma 2013","Ni utemeljenega suma 2014","Ni utemeljenega suma 2015","Ni utemeljenega suma 2016","Ni utemeljenega suma 2017","Ni utemeljenega suma 2018","Ni utemeljenega suma 2019","Ni utemeljenega suma 2020","Ni utemeljenega suma 2021","Izkljuèen pregon 2013","Izkljuèen pregon 2014","Izkljuèen pregon 2015","Izkljuèen pregon 2016","Izkljuèen pregon 2017","Izkljuèen pregon 2018","Izkljuèen pregon 2019","Izkljuèen pregon 2020","Izkljuèen pregon 2021","Nesorazmerje med majhnim pomenom kd in posledicami kazenskega pregona 2013","Nesorazmerje med majhnim pomenom kd in posledicami kazenskega pregona 2014","Nesorazmerje med majhnim pomenom kd in posledicami kazenskega pregona 2015","Nesorazmerje med majhnim pomenom kd in posledicami kazenskega pregona 2016","Nesorazmerje med majhnim pomenom kd in posledicami kazenskega pregona 2017","Nesorazmerje med majhnim pomenom kd in posledicami kazenskega pregona 2018","Nesorazmerje med majhnim pomenom kd in posledicami kazenskega pregona 2019","Nesorazmerje med majhnim pomenom kd in posledicami kazenskega pregona 2020","Nesorazmerje med majhnim pomenom kd in posledicami kazenskega pregona 2021","Ni znakov kaznivega dejanja 2013","Ni znakov kaznivega dejanja 2014","Ni znakov kaznivega dejanja 2015","Ni znakov kaznivega dejanja 2016","Ni znakov kaznivega dejanja 2017","Ni znakov kaznivega dejanja 2018","Ni znakov kaznivega dejanja 2019","Ni znakov kaznivega dejanja 2020","Ni znakov kaznivega dejanja 2021","Umik predloga za pregon 2013","Umik predloga za pregon 2014","Umik predloga za pregon 2015","Umik predloga za pregon 2016","Umik predloga za pregon 2017","Umik predloga za pregon 2018","Umik predloga za pregon 2019","Umik predloga za pregon 2020","Umik predloga za pregon 2021","Po odloženem kazenskem pregonu 2013","Po odloženem kazenskem pregonu 2014","Po odloženem kazenskem pregonu 2015","Po odloženem kazenskem pregonu 2016","Po odloženem kazenskem pregonu 2017","Po odloženem kazenskem pregonu 2018","Po odloženem kazenskem pregonu 2019","Po odloženem kazenskem pregonu 2020","Po odloženem kazenskem pregonu 2021","Smotrnost 2013","Smotrnost 2014","Smotrnost 2015","Smotrnost 2016","Smotrnost 2017","Smotrnost 2018","Smotrnost 2019","Smotrnost 2020","Smotrnost 2021","Zastaranje 2013","Zastaranje 2014","Zastaranje 2015","Zastaranje 2016","Zastaranje 2017","Zastaranje 2018","Zastaranje 2019","Zastaranje 2020","Zastaranje 2021","Po poravnavi 2013","Po poravnavi 2014","Po poravnavi 2015","Po poravnavi 2016","Po poravnavi 2017","Po poravnavi 2018","Po poravnavi 2019","Po poravnavi 2020","Po poravnavi 2021","Izkljuèena kazenska odgovornost 2013","Izkljuèena kazenska odgovornost 2014","Izkljuèena kazenska odgovornost 2015","Izkljuèena kazenska odgovornost 2016","Izkljuèena kazenska odgovornost 2017","Izkljuèena kazenska odgovornost 2018","Izkljuèena kazenska odgovornost 2019","Izkljuèena kazenska odgovornost 2020","Izkljuèena kazenska odgovornost 2021","Oportuniteta - smotrnost (mladoletniki) 2013","Oportuniteta - smotrnost (mladoletniki) 2014","Oportuniteta - smotrnost (mladoletniki) 2015","Oportuniteta - smotrnost (mladoletniki) 2016","Oportuniteta - smotrnost (mladoletniki) 2017","Oportuniteta - smotrnost (mladoletniki) 2018","Oportuniteta - smotrnost (mladoletniki) 2019","Oportuniteta - smotrnost (mladoletniki) 2020","Oportuniteta - smotrnost (mladoletniki) 2021","Oportuniteta - izvajanje varnostnega ukrepa v teku 2013","Oportuniteta - izvajanje varnostnega ukrepa v teku 2014","Oportuniteta - izvajanje varnostnega ukrepa v teku 2015","Oportuniteta - izvajanje varnostnega ukrepa v teku 2016","Oportuniteta - izvajanje varnostnega ukrepa v teku 2017","Oportuniteta - izvajanje varnostnega ukrepa v teku 2018","Oportuniteta - izvajanje varnostnega ukrepa v teku 2019","Oportuniteta - izvajanje varnostnega ukrepa v teku 2020","Oportuniteta - izvajanje varnostnega ukrepa v teku 2021","Oportuniteta - kazen v teku 2013","Oportuniteta - kazen v teku 2014","Oportuniteta - kazen v teku 2015","Oportuniteta - kazen v teku 2016","Oportuniteta - kazen v teku 2017","Oportuniteta - kazen v teku 2018","Oportuniteta - kazen v teku 2019","Oportuniteta - kazen v teku 2020","Oportuniteta - kazen v teku 2021","Otrok pod 14 let 2013","Otrok pod 14 let 2014","Otrok pod 14 let 2015","Otrok pod 14 let 2016","Otrok pod 14 let 2017","Otrok pod 14 let 2018","Otrok pod 14 let 2019","Otrok pod 14 let 2020","Otrok pod 14 let 2021"
"5.XVII.151010 kršitev proste odloèitve volivcev - od. 1",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XVII.154 unièenje ali ponareditev volilnih listin",-,4,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XVII.154010 unièenje ali ponareditev volilnih listin - od. 1",-,4,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XVIII KAZNIVA DEJANJA ZOPER ÈAST IN DOBRO IME",4,19,13,9,-,-,-,-,-,0,7,5,4,-,-,-,-,-,1,3,2,3,-,-,-,-,-,0,1,-,-,-,-,-,-,-,3,7,5,2,-,-,-,-,-,0,1,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,1,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XVIII.158 razžalitev",-,8,6,5,-,-,-,-,-,-,2,4,2,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,1,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XVIII.158010 razžalitev - od. 1",-,6,4,2,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XVIII.158021 razžalitev - od. 2 v zvezi z od. 1",-,2,2,3,-,-,-,-,-,-,1,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XVIII.159 obrekovanje",-,6,1,1,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XVIII.159010 obrekovanje - od. 1",-,6,1,1,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XVIII.160 žaljiva obdolžitev",4,4,6,3,-,-,-,-,-,0,-,1,2,-,-,-,-,-,1,-,2,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,3,4,3,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XVIII.160010 žaljiva obdolžitev - od. 1",3,2,6,1,-,-,-,-,-,0,-,1,-,-,-,-,-,-,1,-,2,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,2,2,3,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XVIII.160021 žaljiva obdolžitev - od. 2 v zvezi z od. 1",1,2,-,2,-,-,-,-,-,0,-,-,2,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XVIII.161 opravljanje",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XVIII.161010 opravljanje - od. 1",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XIX KAZNIVA DEJANJA ZOPER SPOLNO NEDOTAKLJIVOST",12,32,30,17,-,-,-,-,-,8,26,15,12,-,-,-,-,-,1,1,2,1,-,-,-,-,-,1,-,3,1,-,-,-,-,-,2,5,8,-,-,-,-,-,-,0,-,2,3,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XIX.170 posilstvo",1,6,3,2,-,-,-,-,-,0,6,1,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,1,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XIX.170010 posilstvo - od. 1",1,6,3,2,-,-,-,-,-,0,6,1,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,1,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XIX.171 spolno nasilje",4,2,2,-,-,-,-,-,-,3,-,1,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,1,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XIX.171010 spolno nasilje - od. 1",4,2,1,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,1,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XIX.171031 spolno nasilje - od. 3 v zvezi z od. 1",-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XIX.172 spolna zloraba slabotne osebe",1,-,-,2,-,-,-,-,-,0,-,-,2,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XIX.172010 spolna zloraba slabotne osebe - od. 1",1,-,-,1,-,-,-,-,-,0,-,-,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XIX.172021 spolna zloraba slabotne osebe - od. 2 v zvezi z od. 1",-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XIX.173 spolni napad na osebo, mlajšo od petnajst let",5,11,15,9,-,-,-,-,-,4,9,12,7,-,-,-,-,-,0,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,0,-,-,2,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XIX.173010 spolni napad na osebo, mlajšo od petnajst let - od. 1",3,3,5,1,-,-,-,-,-,2,2,2,1,-,-,-,-,-,0,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,1,2,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XIX.173021 spolni napad na osebo, mlajšo od petnajst let - od. 2 v zvezi z od. 1",-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XIX.173030 spolni napad na osebo, mlajšo od petnajst let - od. 3",1,5,5,8,-,-,-,-,-,1,4,5,6,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,1,-,-,-,-,-,-,-,0,-,-,2,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XIX.173041 spolni napad na osebo, mlajšo od petnajst let - od. 4 v zvezi z od. 1",1,2,4,-,-,-,-,-,-,1,2,4,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XIX.173043 spolni napad na osebo, mlajšo od petnajst let - od. 4 v zvezi z od. 3",-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XIX.173a pridobivanje oseb, mlajših od petnajst let, za spolne namene",1,2,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XIX.173110 pridobivanje oseb, mlajših od petnajst let, za spolne namene - od. 1",1,2,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XIX.174 kršitev spolne nedotakljivosti z zlorabo položaja",-,4,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XIX.174010 kršitev spolne nedotakljivosti z zlorabo položaja - od. 1",-,3,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XIX.174020 kršitev spolne nedotakljivosti z zlorabo položaja - od. 2",-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XIX.175 zloraba prostitucije",-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XIX.175010 zloraba prostitucije - od. 1",-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XIX.176 prikazovanje, izdelava, posest in posredovanje pornografskega gradiva",-,7,8,4,-,-,-,-,-,-,6,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5.XIX.176010 prikazovanje, izdelava, posest in posredovanje pornografskega gradiva - od. 1",-,3,2,1,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
